"","metric","variable","value","year","month","raw_value","untrans_value"
"67","Other Short-Term Liabilities","X2007.09",NA,"2007","09","",NA
"68","Total Current Liabilities","X2007.09",NA,"2007","09","",NA
"69","Long-Term Debt","X2007.09",NA,"2007","09","",NA
"70","Other Long-Term Liabilities","X2007.09",NA,"2007","09","",NA
"71","Total Liabilities","X2007.09",94.39,"2007","09","94.39",94.39
"72","Total Stockholders' Equity","X2007.09",5.61,"2007","09","5.61",5.61
"73","Total Liabilities & Equity","X2007.09",100,"2007","09","100.00",100
"74","Current Ratio","X2007.09",NA,"2007","09","",NA
"75","Quick Ratio","X2007.09",NA,"2007","09","",NA
"76","Financial Leverage","X2007.09",18.57,"2007","09","18.57",18.57
"77","Debt/Equity","X2007.09",NA,"2007","09","",NA
"78","Days Sales Outstanding","X2007.09",NA,"2007","09","",NA
"79","Days Inventory","X2007.09",NA,"2007","09","",NA
"80","Payables Period","X2007.09",NA,"2007","09","",NA
"81","Cash Conversion Cycle","X2007.09",NA,"2007","09","",NA
"82","Receivables Turnover","X2007.09",NA,"2007","09","",NA
"83","Inventory Turnover","X2007.09",NA,"2007","09","",NA
"84","Fixed Assets Turnover","X2007.09",8.93,"2007","09","8.93",8.93
"85","Asset Turnover","X2007.09",0.03,"2007","09","0.03",0.03
"86","Revenue AUD Mil","X2008.09",12415000000,"2008","09","12,415",12415
"87","Gross Margin %","X2008.09",NA,"2008","09","",NA
"88","Operating Income AUD Mil","X2008.09",4515000000,"2008","09","4,515",4515
"89","Operating Margin %","X2008.09",0.364,"2008","09","36.4",36.4
"90","Net Income AUD Mil","X2008.09",3319000000,"2008","09","3,319",3319
"91","Earnings Per Share AUD","X2008.09",1.62,"2008","09","1.62",1.62
"92","Dividends AUD","X2008.09",1.94,"2008","09","1.94",1.94
"93","Payout Ratio % *","X2008.09",1.198,"2008","09","119.8",119.8
"94","Shares Mil","X2008.09",2018000000,"2008","09","2,018",2018
"95","Book Value Per Share * AUD","X2008.09",12.55,"2008","09","12.55",12.55
"96","Operating Cash Flow AUD Mil","X2008.09",-442000000,"2008","09","-442",-442
"97","Cap Spending AUD Mil","X2008.09",-559000000,"2008","09","-559",-559
"98","Free Cash Flow AUD Mil","X2008.09",-1001000000,"2008","09","-1,001",-1001
"99","Free Cash Flow Per Share * AUD","X2008.09",-0.5,"2008","09","-0.50",-0.5
"100","Working Capital AUD Mil","X2008.09",NA,"2008","09","",NA
"101","Revenue","X2008.09",100,"2008","09","100.00",100
"102","COGS","X2008.09",NA,"2008","09","",NA
"103","Gross Margin","X2008.09",NA,"2008","09","",NA
"104","SG&A","X2008.09",31.36,"2008","09","31.36",31.36
"105","R&D","X2008.09",NA,"2008","09","",NA
"106","Other","X2008.09",16.58,"2008","09","16.58",16.58
"107","Operating Margin","X2008.09",36.37,"2008","09","36.37",36.37
"108","Net Int Inc & Other","X2008.09",-15.69,"2008","09","-15.69",-15.69
"109","EBT Margin","X2008.09",36.37,"2008","09","36.37",36.37
"110","Tax Rate %","X2008.09",0.2631,"2008","09","26.31",26.31
"111","Net Margin %","X2008.09",0.2636,"2008","09","26.36",26.36
"112","Asset Turnover (Average)","X2008.09",0.03,"2008","09","0.03",0.03
"113","Return on Assets %","X2008.09",0.0076,"2008","09","0.76",0.76
"114","Financial Leverage (Average)","X2008.09",18.39,"2008","09","18.39",18.39
"115","Return on Equity %","X2008.09",0.14,"2008","09","14.00",14
"116","Return on Invested Capital %","X2008.09",NA,"2008","09","",NA
"117","Interest Coverage","X2008.09",NA,"2008","09","",NA
"118","Year over Year","X2008.09",6.82,"2008","09","6.82",6.82
"119","3-Year Average","X2008.09",9.86,"2008","09","9.86",9.86
"120","5-Year Average","X2008.09",11.76,"2008","09","11.76",11.76
"121","10-Year Average","X2008.09",8.21,"2008","09","8.21",8.21
"122","Year over Year","X2008.09",-23.02,"2008","09","-23.02",-23.02
"123","3-Year Average","X2008.09",2,"2008","09","2.00",2
"124","5-Year Average","X2008.09",6.62,"2008","09","6.62",6.62
"125","10-Year Average","X2008.09",10.8,"2008","09","10.80",10.8
"126","Year over Year","X2008.09",-20.6,"2008","09","-20.60",-20.6
"127","3-Year Average","X2008.09",3.22,"2008","09","3.22",3.22
"128","5-Year Average","X2008.09",7.17,"2008","09","7.17",7.17
"129","10-Year Average","X2008.09",11.62,"2008","09","11.62",11.62
"130","Year over Year","X2008.09",-25.7,"2008","09","-25.70",-25.7
"131","3-Year Average","X2008.09",0.99,"2008","09","0.99",0.99
"132","5-Year Average","X2008.09",1.86,"2008","09","1.86",1.86
"133","10-Year Average","X2008.09",8.4,"2008","09","8.40",8.4
"134","Operating Cash Flow Growth % YOY","X2008.09",NA,"2008","09","",NA
"135","Free Cash Flow Growth % YOY","X2008.09",NA,"2008","09","",NA
"136","Cap Ex as a % of Sales","X2008.09",0.045,"2008","09","4.50",4.5
"137","Free Cash Flow/Sales %","X2008.09",-0.0806,"2008","09","-8.06",-8.06
"138","Free Cash Flow/Net Income","X2008.09",-0.3,"2008","09","-0.30",-0.3
"139","Cash & Short-Term Investments","X2008.09",7.41,"2008","09","7.41",7.41
"140","Accounts Receivable","X2008.09",NA,"2008","09","",NA
"141","Inventory","X2008.09",NA,"2008","09","",NA
"142","Other Current Assets","X2008.09",NA,"2008","09","",NA
"143","Total Current Assets","X2008.09",NA,"2008","09","",NA
"144","Net PP&E","X2008.09",0.34,"2008","09","0.34",0.34
"145","Intangibles","X2008.09",0.79,"2008","09","0.79",0.79
"146","Other Long-Term Assets","X2008.09",NA,"2008","09","",NA
"147","Total Assets","X2008.09",100,"2008","09","100.00",100
"148","Accounts Payable","X2008.09",2.14,"2008","09","2.14",2.14
"149","Short-Term Debt","X2008.09",21.81,"2008","09","21.81",21.81
"150","Taxes Payable","X2008.09",NA,"2008","09","",NA
"151","Accrued Liabilities","X2008.09",NA,"2008","09","",NA
"152","Other Short-Term Liabilities","X2008.09",NA,"2008","09","",NA
"153","Total Current Liabilities","X2008.09",NA,"2008","09","",NA
"154","Long-Term Debt","X2008.09",NA,"2008","09","",NA
"155","Other Long-Term Liabilities","X2008.09",NA,"2008","09","",NA
"156","Total Liabilities","X2008.09",94.38,"2008","09","94.38",94.38
"157","Total Stockholders' Equity","X2008.09",5.62,"2008","09","5.62",5.62
"158","Total Liabilities & Equity","X2008.09",100,"2008","09","100.00",100
"159","Current Ratio","X2008.09",NA,"2008","09","",NA
"160","Quick Ratio","X2008.09",NA,"2008","09","",NA
"161","Financial Leverage","X2008.09",18.39,"2008","09","18.39",18.39
"162","Debt/Equity","X2008.09",NA,"2008","09","",NA
"163","Days Sales Outstanding","X2008.09",NA,"2008","09","",NA
"164","Days Inventory","X2008.09",NA,"2008","09","",NA
"165","Payables Period","X2008.09",NA,"2008","09","",NA
"166","Cash Conversion Cycle","X2008.09",NA,"2008","09","",NA
"167","Receivables Turnover","X2008.09",NA,"2008","09","",NA
"168","Inventory Turnover","X2008.09",NA,"2008","09","",NA
"169","Fixed Assets Turnover","X2008.09",8.05,"2008","09","8.05",8.05
"170","Asset Turnover","X2008.09",0.03,"2008","09","0.03",0.03
"171","Revenue AUD Mil","X2009.09",13879000000,"2009","09","13,879",13879
"172","Gross Margin %","X2009.09",NA,"2009","09","",NA
"173","Operating Income AUD Mil","X2009.09",4380000000,"2009","09","4,380",4380
"174","Operating Margin %","X2009.09",0.316,"2009","09","31.6",31.6
"175","Net Income AUD Mil","X2009.09",2943000000,"2009","09","2,943",2943
"176","Earnings Per Share AUD","X2009.09",1.3,"2009","09","1.30",1.3
"177","Dividends AUD","X2009.09",1.71,"2009","09","1.71",1.71
"178","Payout Ratio % *","X2009.09",1.323,"2009","09","132.3",132.3
"179","Shares Mil","X2009.09",2245000000,"2009","09","2,245",2245
"180","Book Value Per Share * AUD","X2009.09",12.57,"2009","09","12.57",12.57
"181","Operating Cash Flow AUD Mil","X2009.09",-3682000000,"2009","09","-3,682",-3682
"182","Cap Spending AUD Mil","X2009.09",-709000000,"2009","09","-709",-709
"183","Free Cash Flow AUD Mil","X2009.09",-4391000000,"2009","09","-4,391",-4391
"184","Free Cash Flow Per Share * AUD","X2009.09",-1.96,"2009","09","-1.96",-1.96
"185","Working Capital AUD Mil","X2009.09",NA,"2009","09","",NA
"186","Revenue","X2009.09",100,"2009","09","100.00",100
"187","COGS","X2009.09",NA,"2009","09","",NA
"188","Gross Margin","X2009.09",NA,"2009","09","",NA
"189","SG&A","X2009.09",31.54,"2009","09","31.54",31.54
"190","R&D","X2009.09",NA,"2009","09","",NA
"191","Other","X2009.09",15.25,"2009","09","15.25",15.25
"192","Operating Margin","X2009.09",31.56,"2009","09","31.56",31.56
"193","Net Int Inc & Other","X2009.09",-21.65,"2009","09","-21.65",-21.65
"194","EBT Margin","X2009.09",31.56,"2009","09","31.56",31.56
"195","Tax Rate %","X2009.09",0.3276,"2009","09","32.76",32.76
"196","Net Margin %","X2009.09",0.2097,"2009","09","20.97",20.97
"197","Asset Turnover (Average)","X2009.09",0.03,"2009","09","0.03",0.03
"198","Return on Assets %","X2009.09",0.0061,"2009","09","0.61",0.61
"199","Financial Leverage (Average)","X2009.09",15.15,"2009","09","15.15",15.15
"200","Return on Equity %","X2009.09",0.1019,"2009","09","10.19",10.19
"201","Return on Invested Capital %","X2009.09",NA,"2009","09","",NA
"202","Interest Coverage","X2009.09",NA,"2009","09","",NA
"203","Year over Year","X2009.09",11.79,"2009","09","11.79",11.79
"204","3-Year Average","X2009.09",11.75,"2009","09","11.75",11.75
"205","5-Year Average","X2009.09",11.01,"2009","09","11.01",11.01
"206","10-Year Average","X2009.09",8.69,"2009","09","8.69",8.69
"207","Year over Year","X2009.09",-2.99,"2009","09","-2.99",-2.99
"208","3-Year Average","X2009.09",-5.64,"2009","09","-5.64",-5.64
"209","5-Year Average","X2009.09",1.9,"2009","09","1.90",1.9
"210","10-Year Average","X2009.09",7.32,"2009","09","7.32",7.32
"211","Year over Year","X2009.09",-11.33,"2009","09","-11.33",-11.33
"212","3-Year Average","X2009.09",-7.25,"2009","09","-7.25",-7.25
"213","5-Year Average","X2009.09",0.89,"2009","09","0.89",0.89
"214","10-Year Average","X2009.09",7.12,"2009","09","7.12",7.12
"215","Year over Year","X2009.09",-20.1,"2009","09","-20.10",-20.1
"216","3-Year Average","X2009.09",-12.58,"2009","09","-12.58",-12.58
"217","5-Year Average","X2009.09",-2.84,"2009","09","-2.84",-2.84
"218","10-Year Average","X2009.09",3.68,"2009","09","3.68",3.68
"219","Operating Cash Flow Growth % YOY","X2009.09",NA,"2009","09","",NA
"220","Free Cash Flow Growth % YOY","X2009.09",NA,"2009","09","",NA
"221","Cap Ex as a % of Sales","X2009.09",0.0511,"2009","09","5.11",5.11
"222","Free Cash Flow/Sales %","X2009.09",-0.3164,"2009","09","-31.64",-31.64
"223","Free Cash Flow/Net Income","X2009.09",-1.49,"2009","09","-1.49",-1.49
"224","Cash & Short-Term Investments","X2009.09",6.35,"2009","09","6.35",6.35
"225","Accounts Receivable","X2009.09",NA,"2009","09","",NA
"226","Inventory","X2009.09",NA,"2009","09","",NA
"227","Other Current Assets","X2009.09",NA,"2009","09","",NA
"228","Total Current Assets","X2009.09",NA,"2009","09","",NA
"229","Net PP&E","X2009.09",0.43,"2009","09","0.43",0.43
"230","Intangibles","X2009.09",0.82,"2009","09","0.82",0.82
"231","Other Long-Term Assets","X2009.09",NA,"2009","09","",NA
"232","Total Assets","X2009.09",100,"2009","09","100.00",100
"233","Accounts Payable","X2009.09",1.63,"2009","09","1.63",1.63
"234","Short-Term Debt","X2009.09",19.07,"2009","09","19.07",19.07
"235","Taxes Payable","X2009.09",NA,"2009","09","",NA
"236","Accrued Liabilities","X2009.09",NA,"2009","09","",NA
"237","Other Short-Term Liabilities","X2009.09",NA,"2009","09","",NA
"238","Total Current Liabilities","X2009.09",NA,"2009","09","",NA
"239","Long-Term Debt","X2009.09",2.14,"2009","09","2.14",2.14
"240","Other Long-Term Liabilities","X2009.09",NA,"2009","09","",NA
"241","Total Liabilities","X2009.09",93.21,"2009","09","93.21",93.21
"242","Total Stockholders' Equity","X2009.09",6.79,"2009","09","6.79",6.79
"243","Total Liabilities & Equity","X2009.09",100,"2009","09","100.00",100
"244","Current Ratio","X2009.09",NA,"2009","09","",NA
"245","Quick Ratio","X2009.09",NA,"2009","09","",NA
"246","Financial Leverage","X2009.09",15.15,"2009","09","15.15",15.15
"247","Debt/Equity","X2009.09",0.32,"2009","09","0.32",0.32
"248","Days Sales Outstanding","X2009.09",NA,"2009","09","",NA
"249","Days Inventory","X2009.09",NA,"2009","09","",NA
"250","Payables Period","X2009.09",NA,"2009","09","",NA
"251","Cash Conversion Cycle","X2009.09",NA,"2009","09","",NA
"252","Receivables Turnover","X2009.09",NA,"2009","09","",NA
"253","Inventory Turnover","X2009.09",NA,"2009","09","",NA
"254","Fixed Assets Turnover","X2009.09",7.6,"2009","09","7.60",7.6
"255","Asset Turnover","X2009.09",0.03,"2009","09","0.03",0.03
"256","Revenue AUD Mil","X2010.09",16186000000,"2010","09","16,186",16186
"257","Gross Margin %","X2010.09",NA,"2010","09","",NA
"258","Operating Income AUD Mil","X2010.09",6601000000,"2010","09","6,601",6601
"259","Operating Margin %","X2010.09",0.408,"2010","09","40.8",40.8
"260","Net Income AUD Mil","X2010.09",4501000000,"2010","09","4,501",4501
"261","Earnings Per Share AUD","X2010.09",1.74,"2010","09","1.74",1.74
"262","Dividends AUD","X2010.09",1.54,"2010","09","1.54",1.54
"263","Payout Ratio % *","X2010.09",0.884,"2010","09","88.4",88.4
"264","Shares Mil","X2010.09",2578000000,"2010","09","2,578",2578
"265","Book Value Per Share * AUD","X2010.09",12.98,"2010","09","12.98",12.98
"266","Operating Cash Flow AUD Mil","X2010.09",3049000000,"2010","09","3,049",3049
"267","Cap Spending AUD Mil","X2010.09",-317000000,"2010","09","-317",-317
"268","Free Cash Flow AUD Mil","X2010.09",2732000000,"2010","09","2,732",2732
"269","Free Cash Flow Per Share * AUD","X2010.09",1.06,"2010","09","1.06",1.06
"270","Working Capital AUD Mil","X2010.09",NA,"2010","09","",NA
"271","Revenue","X2010.09",100,"2010","09","100.00",100
"272","COGS","X2010.09",NA,"2010","09","",NA
"273","Gross Margin","X2010.09",NA,"2010","09","",NA
"274","SG&A","X2010.09",31.48,"2010","09","31.48",31.48
"275","R&D","X2010.09",NA,"2010","09","",NA
"276","Other","X2010.09",16.7,"2010","09","16.70",16.7
"277","Operating Margin","X2010.09",40.78,"2010","09","40.78",40.78
"278","Net Int Inc & Other","X2010.09",-11.04,"2010","09","-11.04",-11.04
"279","EBT Margin","X2010.09",40.78,"2010","09","40.78",40.78
"280","Tax Rate %","X2010.09",0.3175,"2010","09","31.75",31.75
"281","Net Margin %","X2010.09",0.2781,"2010","09","27.81",27.81
"282","Asset Turnover (Average)","X2010.09",0.03,"2010","09","0.03",0.03
"283","Return on Assets %","X2010.09",0.0089,"2010","09","0.89",0.89
"284","Financial Leverage (Average)","X2010.09",16.01,"2010","09","16.01",16.01
"285","Return on Equity %","X2010.09",0.1391,"2010","09","13.91",13.91
"286","Return on Invested Capital %","X2010.09",NA,"2010","09","",NA
"287","Interest Coverage","X2010.09",NA,"2010","09","",NA
"288","Year over Year","X2010.09",16.62,"2010","09","16.62",16.62
"289","3-Year Average","X2010.09",11.67,"2010","09","11.67",11.67
"290","5-Year Average","X2010.09",11.57,"2010","09","11.57",11.57
"291","10-Year Average","X2010.09",9.75,"2010","09","9.75",9.75
"292","Year over Year","X2010.09",50.71,"2010","09","50.71",50.71
"293","3-Year Average","X2010.09",4.02,"2010","09","4.02",4.02
"294","5-Year Average","X2010.09",9.18,"2010","09","9.18",9.18
"295","10-Year Average","X2010.09",9,"2010","09","9.00",9
"296","Year over Year","X2010.09",52.94,"2010","09","52.94",52.94
"297","3-Year Average","X2010.09",2.5,"2010","09","2.50",2.5
"298","5-Year Average","X2010.09",8.32,"2010","09","8.32",8.32
"299","10-Year Average","X2010.09",9.93,"2010","09","9.93",9.93
"300","Year over Year","X2010.09",34.72,"2010","09","34.72",34.72
"301","3-Year Average","X2010.09",-7.18,"2010","09","-7.18",-7.18
"302","5-Year Average","X2010.09",2.08,"2010","09","2.08",2.08
"303","10-Year Average","X2010.09",5.09,"2010","09","5.09",5.09
"304","Operating Cash Flow Growth % YOY","X2010.09",NA,"2010","09","",NA
"305","Free Cash Flow Growth % YOY","X2010.09",NA,"2010","09","",NA
"306","Cap Ex as a % of Sales","X2010.09",0.0196,"2010","09","1.96",1.96
"307","Free Cash Flow/Sales %","X2010.09",0.1688,"2010","09","16.88",16.88
"308","Free Cash Flow/Net Income","X2010.09",0.61,"2010","09","0.61",0.61
"309","Cash & Short-Term Investments","X2010.09",3.66,"2010","09","3.66",3.66
"310","Accounts Receivable","X2010.09",NA,"2010","09","",NA
"311","Inventory","X2010.09",NA,"2010","09","",NA
"312","Other Current Assets","X2010.09",NA,"2010","09","",NA
"313","Total Current Assets","X2010.09",NA,"2010","09","",NA
"314","Net PP&E","X2010.09",0.41,"2010","09","0.41",0.41
"315","Intangibles","X2010.09",1.25,"2010","09","1.25",1.25
"316","Other Long-Term Assets","X2010.09",NA,"2010","09","",NA
"317","Total Assets","X2010.09",100,"2010","09","100.00",100
"318","Accounts Payable","X2010.09",2.52,"2010","09","2.52",2.52
"319","Short-Term Debt","X2010.09",17.25,"2010","09","17.25",17.25
"320","Taxes Payable","X2010.09",NA,"2010","09","",NA
"321","Accrued Liabilities","X2010.09",NA,"2010","09","",NA
"322","Other Short-Term Liabilities","X2010.09",NA,"2010","09","",NA
"323","Total Current Liabilities","X2010.09",NA,"2010","09","",NA
"324","Long-Term Debt","X2010.09",1.44,"2010","09","1.44",1.44
"325","Other Long-Term Liabilities","X2010.09",NA,"2010","09","",NA
"326","Total Liabilities","X2010.09",93.59,"2010","09","93.59",93.59
"327","Total Stockholders' Equity","X2010.09",6.41,"2010","09","6.41",6.41
"328","Total Liabilities & Equity","X2010.09",100,"2010","09","100.00",100
"329","Current Ratio","X2010.09",NA,"2010","09","",NA
"330","Quick Ratio","X2010.09",NA,"2010","09","",NA
"331","Financial Leverage","X2010.09",16.01,"2010","09","16.01",16.01
"332","Debt/Equity","X2010.09",0.23,"2010","09","0.23",0.23
"333","Days Sales Outstanding","X2010.09",NA,"2010","09","",NA
"334","Days Inventory","X2010.09",NA,"2010","09","",NA
"335","Payables Period","X2010.09",NA,"2010","09","",NA
"336","Cash Conversion Cycle","X2010.09",NA,"2010","09","",NA
"337","Receivables Turnover","X2010.09",NA,"2010","09","",NA
"338","Inventory Turnover","X2010.09",NA,"2010","09","",NA
"339","Fixed Assets Turnover","X2010.09",7.67,"2010","09","7.67",7.67
"340","Asset Turnover","X2010.09",0.03,"2010","09","0.03",0.03
"341","Revenue AUD Mil","X2011.09",16932000000,"2011","09","16,932",16932
"342","Gross Margin %","X2011.09",NA,"2011","09","",NA
"343","Operating Income AUD Mil","X2011.09",7672000000,"2011","09","7,672",7672
"344","Operating Margin %","X2011.09",0.453,"2011","09","45.3",45.3
"345","Net Income AUD Mil","X2011.09",5355000000,"2011","09","5,355",5355
"346","Earnings Per Share AUD","X2011.09",1.98,"2011","09","1.98",1.98
"347","Dividends AUD","X2011.09",1.97,"2011","09","1.97",1.97
"348","Payout Ratio % *","X2011.09",0.992,"2011","09","99.2",99.2
"349","Shares Mil","X2011.09",2688000000,"2011","09","2,688",2688
"350","Book Value Per Share * AUD","X2011.09",14.09,"2011","09","14.09",14.09
"351","Operating Cash Flow AUD Mil","X2011.09",18801000000,"2011","09","18,801",18801
"352","Cap Spending AUD Mil","X2011.09",-319000000,"2011","09","-319",-319
"353","Free Cash Flow AUD Mil","X2011.09",18482000000,"2011","09","18,482",18482
"354","Free Cash Flow Per Share * AUD","X2011.09",6.88,"2011","09","6.88",6.88
"355","Working Capital AUD Mil","X2011.09",NA,"2011","09","",NA
"356","Revenue","X2011.09",100,"2011","09","100.00",100
"357","COGS","X2011.09",NA,"2011","09","",NA
"358","Gross Margin","X2011.09",NA,"2011","09","",NA
"359","SG&A","X2011.09",31.85,"2011","09","31.85",31.85
"360","R&D","X2011.09",NA,"2011","09","",NA
"361","Other","X2011.09",15.53,"2011","09","15.53",15.53
"362","Operating Margin","X2011.09",45.31,"2011","09","45.31",45.31
"363","Net Int Inc & Other","X2011.09",-7.31,"2011","09","-7.31",-7.31
"364","EBT Margin","X2011.09",45.31,"2011","09","45.31",45.31
"365","Tax Rate %","X2011.09",0.301,"2011","09","30.10",30.1
"366","Net Margin %","X2011.09",0.3156,"2011","09","31.56",31.56
"367","Asset Turnover (Average)","X2011.09",0.03,"2011","09","0.03",0.03
"368","Return on Assets %","X2011.09",0.0095,"2011","09","0.95",0.95
"369","Financial Leverage (Average)","X2011.09",16.05,"2011","09","16.05",16.05
"370","Return on Equity %","X2011.09",0.1521,"2011","09","15.21",15.21
"371","Return on Invested Capital %","X2011.09",NA,"2011","09","",NA
"372","Interest Coverage","X2011.09",NA,"2011","09","",NA
"373","Year over Year","X2011.09",4.61,"2011","09","4.61",4.61
"374","3-Year Average","X2011.09",10.9,"2011","09","10.90",10.9
"375","5-Year Average","X2011.09",11.23,"2011","09","11.23",11.23
"376","10-Year Average","X2011.09",10.21,"2011","09","10.21",10.21
"377","Year over Year","X2011.09",16.22,"2011","09","16.22",16.22
"378","3-Year Average","X2011.09",19.33,"2011","09","19.33",19.33
"379","5-Year Average","X2011.09",8.03,"2011","09","8.03",8.03
"380","10-Year Average","X2011.09",10.67,"2011","09","10.67",10.67
"381","Year over Year","X2011.09",18.97,"2011","09","18.97",18.97
"382","3-Year Average","X2011.09",17.29,"2011","09","17.29",17.29
"383","5-Year Average","X2011.09",7.74,"2011","09","7.74",7.74
"384","10-Year Average","X2011.09",11.09,"2011","09","11.09",11.09
"385","Year over Year","X2011.09",13.86,"2011","09","13.86",13.86
"386","3-Year Average","X2011.09",7.02,"2011","09","7.02",7.02
"387","5-Year Average","X2011.09",0.49,"2011","09","0.49",0.49
"388","10-Year Average","X2011.09",5.51,"2011","09","5.51",5.51
"389","Operating Cash Flow Growth % YOY","X2011.09",NA,"2011","09","",NA
"390","Free Cash Flow Growth % YOY","X2011.09",NA,"2011","09","",NA
"391","Cap Ex as a % of Sales","X2011.09",0.0188,"2011","09","1.88",1.88
"392","Free Cash Flow/Sales %","X2011.09",1.0915,"2011","09","109.15",109.15
"393","Free Cash Flow/Net Income","X2011.09",3.45,"2011","09","3.45",3.45
"394","Cash & Short-Term Investments","X2011.09",4.67,"2011","09","4.67",4.67
"395","Accounts Receivable","X2011.09",NA,"2011","09","",NA
"396","Inventory","X2011.09",NA,"2011","09","",NA
"397","Other Current Assets","X2011.09",NA,"2011","09","",NA
"398","Total Current Assets","X2011.09",NA,"2011","09","",NA
"399","Net PP&E","X2011.09",0.36,"2011","09","0.36",0.36
"400","Intangibles","X2011.09",1.17,"2011","09","1.17",1.17
"401","Other Long-Term Assets","X2011.09",NA,"2011","09","",NA
"402","Total Assets","X2011.09",100,"2011","09","100.00",100
