"","metric","variable","value","year","month","raw_value","untrans_value"
"64","Short-Term Debt","X2007.12",1.24,"2007","12","1.24",1.24
"65","Taxes Payable","X2007.12",0.36,"2007","12","0.36",0.36
"66","Accrued Liabilities","X2007.12",NA,"2007","12","",NA
"67","Other Short-Term Liabilities","X2007.12",NA,"2007","12","",NA
"68","Total Current Liabilities","X2007.12",NA,"2007","12","",NA
"69","Long-Term Debt","X2007.12",15.36,"2007","12","15.36",15.36
"70","Other Long-Term Liabilities","X2007.12",NA,"2007","12","",NA
"71","Total Liabilities","X2007.12",90.97,"2007","12","90.97",90.97
"72","Total Stockholders' Equity","X2007.12",9.03,"2007","12","9.03",9.03
"73","Total Liabilities & Equity","X2007.12",100,"2007","12","100.00",100
"74","Current Ratio","X2007.12",NA,"2007","12","",NA
"75","Quick Ratio","X2007.12",NA,"2007","12","",NA
"76","Financial Leverage","X2007.12",11.07,"2007","12","11.07",11.07
"77","Debt/Equity","X2007.12",1.7,"2007","12","1.70",1.7
"78","Days Sales Outstanding","X2007.12",NA,"2007","12","",NA
"79","Days Inventory","X2007.12",NA,"2007","12","",NA
"80","Payables Period","X2007.12",NA,"2007","12","",NA
"81","Cash Conversion Cycle","X2007.12",NA,"2007","12","",NA
"82","Receivables Turnover","X2007.12",NA,"2007","12","",NA
"83","Inventory Turnover","X2007.12",NA,"2007","12","",NA
"84","Fixed Assets Turnover","X2007.12",22.24,"2007","12","22.24",22.24
"85","Asset Turnover","X2007.12",0.11,"2007","12","0.11",0.11
"86","Revenue USD Mil","X2008.12",6896000000,"2008","12","6,896",6896
"87","Gross Margin %","X2008.12",NA,"2008","12","",NA
"88","Operating Income USD Mil","X2008.12",-106528000000,"2008","12","-106,528",-106528
"89","Operating Margin %","X2008.12",NA,"2008","12","",NA
"90","Net Income USD Mil","X2008.12",-99289000000,"2008","12","-99,289",-99289
"91","Earnings Per Share USD","X2008.12",-756.85,"2008","12","-756.85",-756.85
"92","Dividends USD","X2008.12",12.4,"2008","12","12.40",12.4
"93","Payout Ratio % *","X2008.12",NA,"2008","12","",NA
"94","Shares Mil","X2008.12",132000000,"2008","12","132",132
"95","Book Value Per Share * USD","X2008.12",391.64,"2008","12","391.64",391.64
"96","Operating Cash Flow USD Mil","X2008.12",755000000,"2008","12","755",755
"97","Cap Spending USD Mil","X2008.12",-4817000000,"2008","12","-4,817",-4817
"98","Free Cash Flow USD Mil","X2008.12",-4062000000,"2008","12","-4,062",-4062
"99","Free Cash Flow Per Share * USD","X2008.12",-30.84,"2008","12","-30.84",-30.84
"100","Working Capital USD Mil","X2008.12",NA,"2008","12","",NA
"101","Revenue","X2008.12",100,"2008","12","100.00",100
"102","COGS","X2008.12",NA,"2008","12","",NA
"103","Gross Margin","X2008.12",NA,"2008","12","",NA
"104","SG&A","X2008.12",NA,"2008","12","",NA
"105","R&D","X2008.12",NA,"2008","12","",NA
"106","Other","X2008.12",NA,"2008","12","",NA
"107","Operating Margin","X2008.12",NA,"2008","12","",NA
"108","Net Int Inc & Other","X2008.12",NA,"2008","12","",NA
"109","EBT Margin","X2008.12",NA,"2008","12","",NA
"110","Tax Rate %","X2008.12",NA,"2008","12","",NA
"111","Net Margin %","X2008.12",-8.9417,"2008","12","-894.17",-894.17
"112","Asset Turnover (Average)","X2008.12",0.01,"2008","12","0.01",0.01
"113","Return on Assets %","X2008.12",-0.1034,"2008","12","-10.34",-10.34
"114","Financial Leverage (Average)","X2008.12",16.33,"2008","12","16.33",16.33
"115","Return on Equity %","X2008.12",-1.3373,"2008","12","-133.73",-133.73
"116","Return on Invested Capital %","X2008.12",NA,"2008","12","",NA
"117","Interest Coverage","X2008.12",NA,"2008","12","",NA
"118","Year over Year","X2008.12",-89.91,"2008","12","-89.91",-89.91
"119","3-Year Average","X2008.12",-53.28,"2008","12","-53.28",-53.28
"120","5-Year Average","X2008.12",-32.85,"2008","12","-32.85",-32.85
"121","10-Year Average","X2008.12",-3.88,"2008","12","-3.88",-3.88
"122","Year over Year","X2008.12",NA,"2008","12","",NA
"123","3-Year Average","X2008.12",NA,"2008","12","",NA
"124","5-Year Average","X2008.12",NA,"2008","12","",NA
"125","10-Year Average","X2008.12",NA,"2008","12","",NA
"126","Year over Year","X2008.12",NA,"2008","12","",NA
"127","3-Year Average","X2008.12",NA,"2008","12","",NA
"128","5-Year Average","X2008.12",NA,"2008","12","",NA
"129","10-Year Average","X2008.12",NA,"2008","12","",NA
"130","Year over Year","X2008.12",NA,"2008","12","",NA
"131","3-Year Average","X2008.12",NA,"2008","12","",NA
"132","5-Year Average","X2008.12",NA,"2008","12","",NA
"133","10-Year Average","X2008.12",NA,"2008","12","",NA
"134","Operating Cash Flow Growth % YOY","X2008.12",NA,"2008","12","",NA
"135","Free Cash Flow Growth % YOY","X2008.12",NA,"2008","12","",NA
"136","Cap Ex as a % of Sales","X2008.12",0.6985,"2008","12","69.85",69.85
"137","Free Cash Flow/Sales %","X2008.12",-0.589,"2008","12","-58.90",-58.9
"138","Free Cash Flow/Net Income","X2008.12",0.04,"2008","12","0.04",0.04
"139","Cash & Short-Term Investments","X2008.12",6.43,"2008","12","6.43",6.43
"140","Accounts Receivable","X2008.12",2.24,"2008","12","2.24",2.24
"141","Inventory","X2008.12",NA,"2008","12","",NA
"142","Other Current Assets","X2008.12",NA,"2008","12","",NA
"143","Total Current Assets","X2008.12",NA,"2008","12","",NA
"144","Net PP&E","X2008.12",0.65,"2008","12","0.65",0.65
"145","Intangibles","X2008.12",0.81,"2008","12","0.81",0.81
"146","Other Long-Term Assets","X2008.12",NA,"2008","12","",NA
"147","Total Assets","X2008.12",100,"2008","12","100.00",100
"148","Accounts Payable","X2008.12",1.75,"2008","12","1.75",1.75
"149","Short-Term Debt","X2008.12",1.83,"2008","12","1.83",1.83
"150","Taxes Payable","X2008.12",NA,"2008","12","",NA
"151","Accrued Liabilities","X2008.12",NA,"2008","12","",NA
"152","Other Short-Term Liabilities","X2008.12",NA,"2008","12","",NA
"153","Total Current Liabilities","X2008.12",NA,"2008","12","",NA
"154","Long-Term Debt","X2008.12",20.63,"2008","12","20.63",20.63
"155","Other Long-Term Liabilities","X2008.12",NA,"2008","12","",NA
"156","Total Liabilities","X2008.12",93.87,"2008","12","93.87",93.87
"157","Total Stockholders' Equity","X2008.12",6.13,"2008","12","6.13",6.13
"158","Total Liabilities & Equity","X2008.12",100,"2008","12","100.00",100
"159","Current Ratio","X2008.12",NA,"2008","12","",NA
"160","Quick Ratio","X2008.12",NA,"2008","12","",NA
"161","Financial Leverage","X2008.12",16.33,"2008","12","16.33",16.33
"162","Debt/Equity","X2008.12",3.37,"2008","12","3.37",3.37
"163","Days Sales Outstanding","X2008.12",NA,"2008","12","",NA
"164","Days Inventory","X2008.12",NA,"2008","12","",NA
"165","Payables Period","X2008.12",NA,"2008","12","",NA
"166","Cash Conversion Cycle","X2008.12",NA,"2008","12","",NA
"167","Receivables Turnover","X2008.12",NA,"2008","12","",NA
"168","Inventory Turnover","X2008.12",NA,"2008","12","",NA
"169","Fixed Assets Turnover","X2008.12",2,"2008","12","2.00",2
"170","Asset Turnover","X2008.12",0.01,"2008","12","0.01",0.01
"171","Revenue USD Mil","X2009.12",75352000000,"2009","12","75,352",75352
"172","Gross Margin %","X2009.12",NA,"2009","12","",NA
"173","Operating Income USD Mil","X2009.12",-14307000000,"2009","12","-14,307",-14307
"174","Operating Margin %","X2009.12",-0.19,"2009","12","-19.0",-19
"175","Net Income USD Mil","X2009.12",-10949000000,"2009","12","-10,949",-10949
"176","Earnings Per Share USD","X2009.12",-90.48,"2009","12","-90.48",-90.48
"177","Dividends USD","X2009.12",NA,"2009","12","",NA
"178","Payout Ratio % *","X2009.12",NA,"2009","12","",NA
"179","Shares Mil","X2009.12",135000000,"2009","12","135",135
"180","Book Value Per Share * USD","X2009.12",0.3,"2009","12","0.30",0.3
"181","Operating Cash Flow USD Mil","X2009.12",18584000000,"2009","12","18,584",18584
"182","Cap Spending USD Mil","X2009.12",-504000000,"2009","12","-504",-504
"183","Free Cash Flow USD Mil","X2009.12",18080000000,"2009","12","18,080",18080
"184","Free Cash Flow Per Share * USD","X2009.12",133.6,"2009","12","133.60",133.6
"185","Working Capital USD Mil","X2009.12",NA,"2009","12","",NA
"186","Revenue","X2009.12",100,"2009","12","100.00",100
"187","COGS","X2009.12",NA,"2009","12","",NA
"188","Gross Margin","X2009.12",NA,"2009","12","",NA
"189","SG&A","X2009.12",NA,"2009","12","",NA
"190","R&D","X2009.12",NA,"2009","12","",NA
"191","Other","X2009.12",118.99,"2009","12","118.99",118.99
"192","Operating Margin","X2009.12",-18.99,"2009","12","-18.99",-18.99
"193","Net Int Inc & Other","X2009.12",NA,"2009","12","",NA
"194","EBT Margin","X2009.12",-18.99,"2009","12","-18.99",-18.99
"195","Tax Rate %","X2009.12",NA,"2009","12","",NA
"196","Net Margin %","X2009.12",-0.1275,"2009","12","-12.75",-12.75
"197","Asset Turnover (Average)","X2009.12",0.11,"2009","12","0.11",0.11
"198","Return on Assets %","X2009.12",-0.0143,"2009","12","-1.43",-1.43
"199","Financial Leverage (Average)","X2009.12",21189.63,"2009","12","21189.63",21189.63
"200","Return on Equity %","X2009.12",-0.4644,"2009","12","-46.44",-46.44
"201","Return on Invested Capital %","X2009.12",NA,"2009","12","",NA
"202","Interest Coverage","X2009.12",NA,"2009","12","",NA
"203","Year over Year","X2009.12",764.59,"2009","12","764.59",764.59
"204","3-Year Average","X2009.12",-5.34,"2009","12","-5.34",-5.34
"205","5-Year Average","X2009.12",-0.41,"2009","12","-0.41",-0.41
"206","10-Year Average","X2009.12",17.99,"2009","12","17.99",17.99
"207","Year over Year","X2009.12",NA,"2009","12","",NA
"208","3-Year Average","X2009.12",NA,"2009","12","",NA
"209","5-Year Average","X2009.12",NA,"2009","12","",NA
"210","10-Year Average","X2009.12",NA,"2009","12","",NA
"211","Year over Year","X2009.12",NA,"2009","12","",NA
"212","3-Year Average","X2009.12",NA,"2009","12","",NA
"213","5-Year Average","X2009.12",NA,"2009","12","",NA
"214","10-Year Average","X2009.12",NA,"2009","12","",NA
"215","Year over Year","X2009.12",NA,"2009","12","",NA
"216","3-Year Average","X2009.12",NA,"2009","12","",NA
"217","5-Year Average","X2009.12",NA,"2009","12","",NA
"218","10-Year Average","X2009.12",NA,"2009","12","",NA
"219","Operating Cash Flow Growth % YOY","X2009.12",NA,"2009","12","",NA
"220","Free Cash Flow Growth % YOY","X2009.12",NA,"2009","12","",NA
"221","Cap Ex as a % of Sales","X2009.12",0.0067,"2009","12","0.67",0.67
"222","Free Cash Flow/Sales %","X2009.12",0.2399,"2009","12","23.99",23.99
"223","Free Cash Flow/Net Income","X2009.12",-1.65,"2009","12","-1.65",-1.65
"224","Cash & Short-Term Investments","X2009.12",6.07,"2009","12","6.07",6.07
"225","Accounts Receivable","X2009.12",1.95,"2009","12","1.95",1.95
"226","Inventory","X2009.12",NA,"2009","12","",NA
"227","Other Current Assets","X2009.12",NA,"2009","12","",NA
"228","Total Current Assets","X2009.12",NA,"2009","12","",NA
"229","Net PP&E","X2009.12",0.49,"2009","12","0.49",0.49
"230","Intangibles","X2009.12",0.73,"2009","12","0.73",0.73
"231","Other Long-Term Assets","X2009.12",NA,"2009","12","",NA
"232","Total Assets","X2009.12",100,"2009","12","100.00",100
"233","Accounts Payable","X2009.12",1.22,"2009","12","1.22",1.22
"234","Short-Term Debt","X2009.12",NA,"2009","12","",NA
"235","Taxes Payable","X2009.12",NA,"2009","12","",NA
"236","Accrued Liabilities","X2009.12",NA,"2009","12","",NA
"237","Other Short-Term Liabilities","X2009.12",NA,"2009","12","",NA
"238","Total Current Liabilities","X2009.12",NA,"2009","12","",NA
"239","Long-Term Debt","X2009.12",16.69,"2009","12","16.69",16.69
"240","Other Long-Term Liabilities","X2009.12",NA,"2009","12","",NA
"241","Total Liabilities","X2009.12",91.76,"2009","12","91.76",91.76
"242","Total Stockholders' Equity","X2009.12",8.24,"2009","12","8.24",8.24
"243","Total Liabilities & Equity","X2009.12",100,"2009","12","100.00",100
"244","Current Ratio","X2009.12",NA,"2009","12","",NA
"245","Quick Ratio","X2009.12",NA,"2009","12","",NA
"246","Financial Leverage","X2009.12",21189.63,"2009","12","21189.63",21189.63
"247","Debt/Equity","X2009.12",3536.8,"2009","12","3536.80",3536.8
"248","Days Sales Outstanding","X2009.12",NA,"2009","12","",NA
"249","Days Inventory","X2009.12",NA,"2009","12","",NA
"250","Payables Period","X2009.12",NA,"2009","12","",NA
"251","Cash Conversion Cycle","X2009.12",NA,"2009","12","",NA
"252","Receivables Turnover","X2009.12",NA,"2009","12","",NA
"253","Inventory Turnover","X2009.12",NA,"2009","12","",NA
"254","Fixed Assets Turnover","X2009.12",19.78,"2009","12","19.78",19.78
"255","Asset Turnover","X2009.12",0.11,"2009","12","0.11",0.11
"256","Revenue USD Mil","X2010.12",77526000000,"2010","12","77,526",77526
"257","Gross Margin %","X2010.12",NA,"2010","12","",NA
"258","Operating Income USD Mil","X2010.12",17936000000,"2010","12","17,936",17936
"259","Operating Margin %","X2010.12",0.231,"2010","12","23.1",23.1
"260","Net Income USD Mil","X2010.12",7786000000,"2010","12","7,786",7786
"261","Earnings Per Share USD","X2010.12",11.6,"2010","12","11.60",11.6
"262","Dividends USD","X2010.12",NA,"2010","12","",NA
"263","Payout Ratio % *","X2010.12",NA,"2010","12","",NA
"264","Shares Mil","X2010.12",137000000,"2010","12","137",137
"265","Book Value Per Share * USD","X2010.12",94.94,"2010","12","94.94",94.94
"266","Operating Cash Flow USD Mil","X2010.12",16910000000,"2010","12","16,910",16910
"267","Cap Spending USD Mil","X2010.12",-267000000,"2010","12","-267",-267
"268","Free Cash Flow USD Mil","X2010.12",16643000000,"2010","12","16,643",16643
"269","Free Cash Flow Per Share * USD","X2010.12",121.79,"2010","12","121.79",121.79
"270","Working Capital USD Mil","X2010.12",NA,"2010","12","",NA
"271","Revenue","X2010.12",100,"2010","12","100.00",100
"272","COGS","X2010.12",NA,"2010","12","",NA
"273","Gross Margin","X2010.12",NA,"2010","12","",NA
"274","SG&A","X2010.12",5.22,"2010","12","5.22",5.22
"275","R&D","X2010.12",NA,"2010","12","",NA
"276","Other","X2010.12",71.64,"2010","12","71.64",71.64
"277","Operating Margin","X2010.12",23.14,"2010","12","23.14",23.14
"278","Net Int Inc & Other","X2010.12",NA,"2010","12","",NA
"279","EBT Margin","X2010.12",23.14,"2010","12","23.14",23.14
"280","Tax Rate %","X2010.12",0.3267,"2010","12","32.67",32.67
"281","Net Margin %","X2010.12",0.0205,"2010","12","2.05",2.05
"282","Asset Turnover (Average)","X2010.12",0.1,"2010","12","0.10",0.1
"283","Return on Assets %","X2010.12",0.0021,"2010","12","0.21",0.21
"284","Financial Leverage (Average)","X2010.12",51.24,"2010","12","51.24",51.24
"285","Return on Equity %","X2010.12",0.2367,"2010","12","23.67",23.67
"286","Return on Invested Capital %","X2010.12",NA,"2010","12","",NA
"287","Interest Coverage","X2010.12",NA,"2010","12","",NA
"288","Year over Year","X2010.12",-19.48,"2010","12","-19.48",-19.48
"289","3-Year Average","X2010.12",-11.11,"2010","12","-11.11",-11.11
"290","5-Year Average","X2010.12",-6.63,"2010","12","-6.63",-6.63
"291","10-Year Average","X2010.12",14.39,"2010","12","14.39",14.39
"292","Year over Year","X2010.12",NA,"2010","12","",NA
"293","3-Year Average","X2010.12",26.11,"2010","12","26.11",26.11
"294","5-Year Average","X2010.12",3.35,"2010","12","3.35",3.35
"295","10-Year Average","X2010.12",10.01,"2010","12","10.01",10.01
"296","Year over Year","X2010.12",NA,"2010","12","",NA
"297","3-Year Average","X2010.12",7.89,"2010","12","7.89",7.89
"298","5-Year Average","X2010.12",-5.76,"2010","12","-5.76",-5.76
"299","10-Year Average","X2010.12",3.28,"2010","12","3.28",3.28
"300","Year over Year","X2010.12",NA,"2010","12","",NA
"301","3-Year Average","X2010.12",-37.63,"2010","12","-37.63",-37.63
"302","5-Year Average","X2010.12",-32,"2010","12","-32.00",-32
"303","10-Year Average","X2010.12",-13.28,"2010","12","-13.28",-13.28
"304","Operating Cash Flow Growth % YOY","X2010.12",-9.01,"2010","12","-901.00",-901
"305","Free Cash Flow Growth % YOY","X2010.12",-7.95,"2010","12","-795.00",-795
"306","Cap Ex as a % of Sales","X2010.12",0.0034,"2010","12","0.34",0.34
"307","Free Cash Flow/Sales %","X2010.12",0.2147,"2010","12","21.47",21.47
"308","Free Cash Flow/Net Income","X2010.12",2.14,"2010","12","2.14",2.14
"309","Cash & Short-Term Investments","X2010.12",6.4,"2010","12","6.40",6.4
"310","Accounts Receivable","X2010.12",2.3,"2010","12","2.30",2.3
"311","Inventory","X2010.12",NA,"2010","12","",NA
"312","Other Current Assets","X2010.12",NA,"2010","12","",NA
"313","Total Current Assets","X2010.12",NA,"2010","12","",NA
"314","Net PP&E","X2010.12",0.42,"2010","12","0.42",0.42
"315","Intangibles","X2010.12",0.2,"2010","12","0.20",0.2
"316","Other Long-Term Assets","X2010.12",NA,"2010","12","",NA
"317","Total Assets","X2010.12",100,"2010","12","100.00",100
"318","Accounts Payable","X2010.12",0.83,"2010","12","0.83",0.83
"319","Short-Term Debt","X2010.12",NA,"2010","12","",NA
"320","Taxes Payable","X2010.12",0.41,"2010","12","0.41",0.41
"321","Accrued Liabilities","X2010.12",NA,"2010","12","",NA
"322","Other Short-Term Liabilities","X2010.12",NA,"2010","12","",NA
"323","Total Current Liabilities","X2010.12",NA,"2010","12","",NA
"324","Long-Term Debt","X2010.12",15.58,"2010","12","15.58",15.58
"325","Other Long-Term Liabilities","X2010.12",NA,"2010","12","",NA
"326","Total Liabilities","X2010.12",87.52,"2010","12","87.52",87.52
"327","Total Stockholders' Equity","X2010.12",12.48,"2010","12","12.48",12.48
"328","Total Liabilities & Equity","X2010.12",100,"2010","12","100.00",100
"329","Current Ratio","X2010.12",NA,"2010","12","",NA
"330","Quick Ratio","X2010.12",NA,"2010","12","",NA
"331","Financial Leverage","X2010.12",51.24,"2010","12","51.24",51.24
"332","Debt/Equity","X2010.12",7.98,"2010","12","7.98",7.98
"333","Days Sales Outstanding","X2010.12",NA,"2010","12","",NA
"334","Days Inventory","X2010.12",NA,"2010","12","",NA
"335","Payables Period","X2010.12",NA,"2010","12","",NA
"336","Cash Conversion Cycle","X2010.12",NA,"2010","12","",NA
"337","Receivables Turnover","X2010.12",NA,"2010","12","",NA
"338","Inventory Turnover","X2010.12",NA,"2010","12","",NA
"339","Fixed Assets Turnover","X2010.12",22.13,"2010","12","22.13",22.13
"340","Asset Turnover","X2010.12",0.1,"2010","12","0.10",0.1
"341","Revenue USD Mil","X2011.12",65105000000,"2011","12","65,105",65105
"342","Gross Margin %","X2011.12",NA,"2011","12","",NA
"343","Operating Income USD Mil","X2011.12",-901000000,"2011","12","-901",-901
"344","Operating Margin %","X2011.12",-0.014,"2011","12","-1.4",-1.4
"345","Net Income USD Mil","X2011.12",20622000000,"2011","12","20,622",20622
"346","Earnings Per Share USD","X2011.12",11.01,"2011","12","11.01",11.01
"347","Dividends USD","X2011.12",NA,"2011","12","",NA
"348","Payout Ratio % *","X2011.12",NA,"2011","12","",NA
"349","Shares Mil","X2011.12",1799000000,"2011","12","1,799",1799
"350","Book Value Per Share * USD","X2011.12",45.36,"2011","12","45.36",45.36
"351","Operating Cash Flow USD Mil","X2011.12",35000000,"2011","12","35",35
"352","Cap Spending USD Mil","X2011.12",NA,"2011","12","",NA
"353","Free Cash Flow USD Mil","X2011.12",35000000,"2011","12","35",35
"354","Free Cash Flow Per Share * USD","X2011.12",0.33,"2011","12","0.33",0.33
"355","Working Capital USD Mil","X2011.12",NA,"2011","12","",NA
"356","Revenue","X2011.12",100,"2011","12","100.00",100
"357","COGS","X2011.12",NA,"2011","12","",NA
"358","Gross Margin","X2011.12",NA,"2011","12","",NA
"359","SG&A","X2011.12",NA,"2011","12","",NA
"360","R&D","X2011.12",NA,"2011","12","",NA
"361","Other","X2011.12",101.38,"2011","12","101.38",101.38
"362","Operating Margin","X2011.12",-1.38,"2011","12","-1.38",-1.38
"363","Net Int Inc & Other","X2011.12",NA,"2011","12","",NA
"364","EBT Margin","X2011.12",-1.38,"2011","12","-1.38",-1.38
"365","Tax Rate %","X2011.12",NA,"2011","12","",NA
"366","Net Margin %","X2011.12",0.2644,"2011","12","26.44",26.44
"367","Asset Turnover (Average)","X2011.12",0.1,"2011","12","0.10",0.1
"368","Return on Assets %","X2011.12",0.0274,"2011","12","2.74",2.74
"369","Financial Leverage (Average)","X2011.12",5.3,"2011","12","5.30",5.3
"370","Return on Equity %","X2011.12",0.2872,"2011","12","28.72",28.72
"371","Return on Invested Capital %","X2011.12",NA,"2011","12","",NA
"372","Interest Coverage","X2011.12",NA,"2011","12","",NA
"373","Year over Year","X2011.12",-16.9,"2011","12","-16.90",-16.9
"374","3-Year Average","X2011.12",79.52,"2011","12","79.52",79.52
"375","5-Year Average","X2011.12",-10.71,"2011","12","-10.71",-10.71
"376","10-Year Average","X2011.12",11.25,"2011","12","11.25",11.25
"377","Year over Year","X2011.12",NA,"2011","12","",NA
"378","3-Year Average","X2011.12",NA,"2011","12","",NA
"379","5-Year Average","X2011.12",NA,"2011","12","",NA
"380","10-Year Average","X2011.12",NA,"2011","12","",NA
"381","Year over Year","X2011.12",128.59,"2011","12","128.59",128.59
"382","3-Year Average","X2011.12",NA,"2011","12","",NA
"383","5-Year Average","X2011.12",4.85,"2011","12","4.85",4.85
"384","10-Year Average","X2011.12",12.74,"2011","12","12.74",12.74
"385","Year over Year","X2011.12",-18.62,"2011","12","-18.62",-18.62
"386","3-Year Average","X2011.12",NA,"2011","12","",NA
"387","5-Year Average","X2011.12",-38.49,"2011","12","-38.49",-38.49
"388","10-Year Average","X2011.12",-13.53,"2011","12","-13.53",-13.53
"389","Operating Cash Flow Growth % YOY","X2011.12",NA,"2011","12","",NA
"390","Free Cash Flow Growth % YOY","X2011.12",NA,"2011","12","",NA
"391","Cap Ex as a % of Sales","X2011.12",NA,"2011","12","",NA
"392","Free Cash Flow/Sales %","X2011.12",0.0005,"2011","12","0.05",0.05
"393","Free Cash Flow/Net Income","X2011.12",NA,"2011","12","",NA
"394","Cash & Short-Term Investments","X2011.12",4.33,"2011","12","4.33",4.33
"395","Accounts Receivable","X2011.12",2.65,"2011","12","2.65",2.65
"396","Inventory","X2011.12",NA,"2011","12","",NA
"397","Other Current Assets","X2011.12",NA,"2011","12","",NA
"398","Total Current Assets","X2011.12",NA,"2011","12","",NA
"399","Net PP&E","X2011.12",NA,"2011","12","",NA
"400","Intangibles","X2011.12",NA,"2011","12","",NA
"401","Other Long-Term Assets","X2011.12",NA,"2011","12","",NA
"402","Total Assets","X2011.12",100,"2011","12","100.00",100
"403","Accounts Payable","X2011.12",NA,"2011","12","",NA
"404","Short-Term Debt","X2011.12",NA,"2011","12","",NA
"405","Taxes Payable","X2011.12",NA,"2011","12","",NA
"406","Accrued Liabilities","X2011.12",NA,"2011","12","",NA
"407","Other Short-Term Liabilities","X2011.12",NA,"2011","12","",NA
"408","Total Current Liabilities","X2011.12",NA,"2011","12","",NA
"409","Long-Term Debt","X2011.12",13.54,"2011","12","13.54",13.54
"410","Other Long-Term Liabilities","X2011.12",NA,"2011","12","",NA
